date, pm25, pm10, o3, no2, so2
2016/3/31, 3, 17, 15, 14, 
2015/10/1, 3, 23, 17, 13, 
2015/10/2, 5, 24, 14, 20, 
2015/10/3, 5, 27, 28, 18, 
2015/10/4, 2, 6, 36, 10, 
2015/10/5, 4, 15, 14, 14, 
2015/10/6, 3, 6, 19, 9, 
2015/10/7, 1, 9, 20, 11, 
2015/10/8, 2, 14, 14, 15, 
2015/10/9, 3, 19, 8, 13, 
2015/10/10, 3, 20, 13, 6, 
2015/10/11, 3, 27, 13, 11, 
2015/10/12, 4, 33, 18, 15, 
2015/10/13, 6, 30, 15, 14, 
2015/10/14, 4, 20, 11, 14, 
2015/10/15, 3, 25, 10, 17, 
2015/10/16, 3, 26, 8, 20, 1
2015/10/17, 4, 18, 8, 14, 
2015/10/18, 4, 17, 22, 13, 
2015/10/19, 3, 21, 20, 17, 
2015/10/20, 3, 24, 13, 19, 1
2015/10/21, 4, 27, 22, 17, 
2015/10/22, 4, 17, 14, 15, 
2015/10/23, 3, 23, 11, 12, 
2015/10/24, 3, 18, 18, 17, 1
2015/10/26, 5, 24, 9, 12, 
2015/10/27, 4, 28, 3, 16, 
2015/10/28, 5, 25, 25, 16, 
2015/10/29, 4, 6, 25, 13, 
2015/10/30, 2, 17, 7, 13, 
2015/10/31, 2, 17, 5, 11, 
2015/11/1, 3, 23, 8, 12, 
2015/11/2, 3, 23, 3, 16, 
2015/11/3, 3, 27, 2, 20, 
2015/11/4, 5, 28, 2, 25, 1
2015/11/5, 9, 25, 6, 29, 1
2015/11/6, 10, 23, 8, 25, 1
2015/11/7, 7, 12, 14, 19, 1
2015/11/8, 4, 11, 11, 18, 
2015/11/9, 4, 15, 14, 19, 
2015/11/10, 3, 21, 13, 20, 
2015/11/11, 5, 29, 3, 23, 
2015/11/12, 7, 29, , 20, 
2015/11/13, 6, 24, 12, 17, 
2015/11/14, 4, 12, 18, 12, 
2015/11/15, 2, 31, 21, 10, 
2015/11/16, 2, 37, 7, 20, 
2015/11/17, 6, 16, 24, 12, 
2015/11/18, 2, 5, 23, 6, 
2015/11/19, 1, 6, 24, 5, 
2015/11/20, 1, 4, 23, 4, 
2015/11/21, 1, 2, 24, 6, 
2015/11/22, 1, 5, 21, 7, 
2015/11/23, 1, 10, 19, 17, 
2015/11/24, 3, 16, 16, 21, 1
2015/11/25, 4, 7, 15, 14, 
2015/11/26, 2, 9, 6, 20, 
2015/11/27, 3, 14, 14, 13, 
2015/11/28, 2, 11, 21, 10, 
2015/11/29, 2, 5, 28, 5, 
2015/11/30, 1, 4, 31, 4, 
2015/12/1, 1, 5, 30, 9, 
2015/12/2, 1, 22, 4, 26, 1
2015/12/3, 6, 24, 1, 24, 
2015/12/4, 6, 21, 2, 24, 
2015/12/5, 5, 23, 1, 21, 
2015/12/6, 7, 17, 6, 14, 
2015/12/7, 6, 21, 1, 20, 1
2015/12/8, 14, 23, , 19, 
2015/12/9, 6, 18, 5, 23, 1
2015/12/10, 6, 16, 6, 20, 
2015/12/11, 3, 25, 4, 22, 
2015/12/12, 4, 12, 17, 20, 1
2015/12/13, 4, 15, 14, 16, 1
2015/12/14, 5, 33, , 23, 
2015/12/15, 9, 35, , 24, 1
2015/12/16, 10, 18, 5, 22, 1
2015/12/17, 7, 14, 8, 17, 
2015/12/18, 4, 18, , 22, 1
2015/12/19, 7, 34, 9, 20, 1
2015/12/20, 14, 26, 3, 15, 
2015/12/21, 8, 12, 19, 12, 
2015/12/22, 4, 11, 10, 14, 
2015/12/23, 4, 15, 9, 16, 
2015/12/24, 3, 13, 7, 18, 1
2015/12/25, 4, 9, 15, 12, 
2015/12/26, 3, 13, 8, 17, 1
2015/12/27, 5, 17, 3, 19, 2
2015/12/28, 6, 27, , 20, 
2015/12/29, 8, 24, 1, 20, 
2015/12/30, 7, 20, 1, 16, 
2015/12/31, 5, , , , 
2016/1/4, 2, 3, 22, 9, 
2015/9/22, 3, 15, 27, 15, 
2015/9/23, 1, 4, 26, 7, 
2015/9/24, 2, 9, 24, 13, 
2015/9/25, 4, 14, 27, 18, 
2015/9/26, 4, 16, 27, 13, 
2015/9/27, 2, 16, 32, 6, 
2015/9/28, 2, 12, 26, 8, 
2015/9/29, 2, 13, 28, 7, 
2015/9/30, 2, 19, 22, 10, 
2020/7/19, , 11, 50, 5, 
2020/1/1, , 21, 3, 14, 
2019/1/1, , 11, 20, 6, 
2018/1/7, , 11, 10, 10, 
2017/1/2, , 21, 9, 16, 
2016/11/6, , 4, 24, 7, 
2016/11/23, , 31, 2, 22, 1
2016/12/26, , 11, 15, 15, 1
2016/1/3, , 5, 23, 9, 
2015/7/1, , 20, 80, 17, 
2015/7/2, , 26, 79, 14, 
2015/7/3, , 30, 59, 14, 
2015/7/4, , 51, 59, 13, 
2015/7/5, , 65, 58, 13, 
2015/7/6, , 45, 79, 9, 
2015/7/7, , 35, 63, 10, 
2015/7/8, , 33, 37, 8, 
2015/7/9, , 19, 37, 5, 
2015/7/10, , 11, 51, 6, 
2015/7/11, , 16, 64, 9, 
2015/7/12, , 22, 65, 11, 
2015/7/13, , 18, 41, 6, 1
2015/7/14, , 17, 42, 9, 
2015/7/15, , 19, 61, 9, 
2015/7/16, , 22, 72, 13, 
2015/7/17, , 27, 64, 15, 
2015/7/18, , 24, 48, 10, 
2015/7/19, , 16, 48, 7, 
2015/7/20, , 13, 39, 4, 
2015/7/21, , 11, 56, 7, 
2015/7/22, , 17, 53, 12, 
2015/7/23, , 13, 41, 9, 
2015/7/24, , 12, 55, 8, 
2015/7/25, , 10, 35, 5, 
2015/7/26, , 7, 39, 4, 
2015/7/27, , 6, 32, 3, 
2015/7/28, , 7, 35, 4, 
2015/7/29, , 9, 32, 6, 
2015/7/30, , 8, 45, 9, 
2015/7/31, , 11, 45, 8, 
2015/8/1, , 13, 37, 9, 
2015/8/2, , 21, 50, 7, 1
2015/8/3, , 15, 51, 7, 
2015/8/4, , 16, 43, 11, 
2015/8/5, , 12, 57, 9, 
2015/8/6, , 19, 63, 12, 
2015/8/7, , 27, 59, 17, 
2015/8/8, , 24, 66, 15, 
2015/8/9, , 20, 48, 7, 
2015/8/10, , 18, 42, 7, 
2015/8/11, , 17, 59, 8, 
2015/8/12, , 24, 77, 11, 
2015/8/13, , 30, 83, 14, 
2015/8/14, , 21, 41, 10, 
2015/8/15, , 8, 25, 7, 
2015/8/16, , 4, 21, 5, 
2015/8/17, , 7, 31, 8, 
2015/8/18, , 11, 36, 10, 
2015/8/19, , 12, 28, 10, 
2015/8/20, , 13, 37, 12, 
2015/8/21, , 15, 45, 11, 
2015/8/22, , 12, 45, 11, 
