date, pm25, pm10, o3, no2, so2, co
2020/5/13, 159, 81, 28, 12, 6, 13
2020/5/14, 144, 74, 28, 13, 6, 14
2020/5/15, 125, 89, 34, 15, 6, 14
2020/5/16, 152, 113, 37, 17, 8, 13
2020/5/17, 177, 119, 34, 19, 12, 15
2020/5/18, 175, 131, 31, 22, 10, 15
2020/5/19, 180, 97, 29, 17, 9, 13
2020/5/20, 142, 102, 21, 21, 9, 14
2020/5/21, 119, 148, 29, 25, 16, 17
2020/5/22, 192, 128, 10, 23, 10, 14
2020/5/23, 141, 107, 16, 15, 13, 13
2020/5/24, 128, 101, 16, 15, 13, 15
2020/5/25, 132, 127, 10, 19, 16, 15
2020/5/26, 130, 111, 24, 15, 9, 13
2020/5/27, 118, 138, 8, 11, 9, 13
2020/5/28, 98, 52, 2, 12, 8, 12
2020/5/29, 76, 49, 3, 12, 8, 12
2020/5/30, 78, 38, 2, 10, 8, 13
2020/5/31, 77, 48, 1, 11, 8, 15
2020/4/1, 104, 56, 2, 15, 5, 15
2020/4/2, 94, 51, 2, 18, 6, 14
2020/4/3, 96, 59, 2, 18, 7, 15
2020/4/4, 113, 94, 2, 17, 6, 18
2020/4/5, 147, 85, 2, 17, 6, 17
2020/4/6, 135, 71, 2, 16, 5, 15
2020/4/7, 89, 61, 3, 18, 6, 14
2020/4/8, 91, 59, 2, 19, 6, 17
2020/4/9, 109, 79, 2, 19, 6, 17
2020/4/10, 131, 81, 33, 15, 6, 14
2020/4/11, 128, 64, 28, 14, 6, 11
2020/4/12, 108, 88, 32, 16, 7, 11
2020/4/13, 139, 99, 40, 17, 6, 13
2020/4/14, 144, 114, 30, 16, 6, 12
2020/4/15, 143, 124, 33, 16, 7, 11
2020/4/16, 145, 66, 32, 14, 6, 9
2020/4/17, 84, 70, 30, 12, 6, 10
2020/4/18, 91, 54, 23, 13, 5, 12
2020/4/19, 105, 87, 15, 13, 5, 12
2020/4/20, 127, 63, 24, 12, 5, 11
2020/4/21, 114, 89, 30, 15, 6, 12
2020/4/22, 139, 90, 27, 14, 6, 13
2020/4/23, 132, 81, 31, 14, 5, 13
2020/4/24, 142, 63, 29, 12, 5, 11
2020/4/25, 85, 80, 19, 11, 5, 12
2020/4/26, 104, 46, 23, 10, 5, 11
2020/4/27, 85, 60, 30, 9, 6, 11
2020/4/28, 115, 77, 32, 10, 6, 12
2020/4/29, 137, 79, 34, 10, 5, 13
2020/4/30, 137, 92, 31, 10, 6, 12
2020/3/2, 138, 168, 4, 25, 7, 22
2020/3/3, 189, 146, 1, 17, 6, 22
2020/3/4, 162, 174, 9, 19, 7, 17
2020/3/5, 163, 88, 2, 13, 6, 15
2020/3/6, 121, 64, 2, 15, 5, 14
2020/3/7, 112, 151, 2, 29, 6, 21
2020/3/8, 170, 142, 4, 20, 5, 21
2020/3/9, 171, 110, 2, 20, 5, 16
2020/3/10, 149, 114, 5, 20, 6, 16
2020/3/11, 172, 94, 2, 17, 5, 15
