date, pm25
2019/3/30, 162
2019/3/31, 124
2018/10/1, 151
2018/10/2, 156
2018/10/3, 125
2018/10/4, 167
2018/10/5, 174
2018/10/6, 148
2018/10/7, 157
2018/10/8, 174
2018/10/9, 171
2018/10/10, 162
2018/10/11, 134
2018/10/12, 135
2018/10/13, 181
2018/10/14, 160
2018/10/15, 177
2018/10/16, 180
2018/10/17, 172
2018/10/18, 167
2018/10/19, 182
2018/10/20, 202
2018/10/21, 180
2018/10/22, 170
2018/10/23, 164
2018/10/24, 186
2018/10/25, 204
2018/10/26, 169
2018/10/27, 242
2018/10/29, 248
2018/10/30, 263
2018/10/31, 312
2018/11/1, 249
2018/11/2, 257
2018/11/3, 241
2018/11/4, 203
2018/11/5, 146
2018/11/6, 370
2018/11/7, 232
2018/11/8, 195
2018/11/9, 357
2018/11/10, 321
2018/11/11, 304
2018/11/12, 276
2018/11/13, 287
2018/11/14, 279
2018/11/15, 210
2018/11/16, 172
2018/11/17, 209
2018/11/18, 188
2018/11/19, 192
2018/11/20, 232
2018/11/21, 249
2018/11/22, 281
2018/11/23, 174
2018/11/24, 229
2018/11/25, 169
2018/11/26, 174
2018/11/27, 222
2018/11/28, 199
2018/11/29, 209
2018/11/30, 224
2018/12/1, 232
2018/12/2, 208
2018/12/3, 177
2018/12/4, 211
2018/12/5, 227
2018/12/6, 214
2018/12/7, 232
2018/12/8, 235
2018/12/9, 243
2018/12/10, 240
2018/12/11, 288
2018/12/12, 298
2018/12/13, 255
2018/12/14, 156
2018/12/15, 173
2018/12/16, 185
2018/12/17, 189
2018/12/18, 230
2018/12/19, 271
2018/12/20, 247
2018/12/21, 281
2018/12/22, 310
2018/12/23, 359
2018/12/24, 394
2018/12/25, 355
2018/12/26, 350
2018/12/27, 277
2018/12/28, 286
2018/12/29, 297
2018/12/30, 270
2018/12/31, 304
2018/7/1, 79
2018/7/2, 82
2018/7/3, 103
2018/7/4, 118
2018/7/5, 126
2018/7/6, 134
2018/7/7, 144
2018/7/8, 144
2018/7/9, 158
2018/7/10, 119
2018/7/11, 105
2018/7/12, 122
2018/7/13, 86
2018/7/14, 94
2018/7/15, 91
2018/7/16, 97
2018/7/17, 89
2018/7/18, 103
2018/7/19, 97
2018/7/20, 103
2018/7/21, 136
2018/7/22, 82
2018/7/23, 90
2018/7/24, 101
2018/7/25, 89
